127.0.0.1 - - [16/Apr/2022:08:38:02 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:14 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:14 +0700] "GET /LinhWine/san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:14 +0700] "GET /LinhWine/san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:14 +0700] "GET /LinhWine/san-pham/images/icons8-synchronize-100.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:14 +0700] "GET /LinhWine/san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:14 +0700] "GET /LinhWine/san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:18 +0700] "GET /LinhWine/ HTTP/1.1" 200 129157
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:18 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:18 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:18 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:18 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:18 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:18 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:18 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:47:59 +0700] "GET /LinhWine/san-pham/1 HTTP/1.1" 200 56861
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:47:59 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:47:59 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:47:59 +0700] "GET /LinhWine/san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:00 +0700] "GET /LinhWine/san-pham/images/icons8-synchronize-100.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:00 +0700] "GET /LinhWine/san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:00 +0700] "GET /LinhWine/san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:00 +0700] "GET /LinhWine/san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:01 +0700] "GET /LinhWine/chi-tiet-san-pham/2 HTTP/1.1" 200 60517
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:01 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:01 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:01 +0700] "GET /LinhWine/chi-tiet-san-pham/resources/Frontend1/images/2021/03/giao-hang.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:01 +0700] "GET /LinhWine/chi-tiet-san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:01 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:01 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:01 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:01 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:02 +0700] "GET /LinhWine/chi-tiet-san-pham/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:02 +0700] "GET /LinhWine/chi-tiet-san-pham/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:04 +0700] "GET /LinhWine/add-cart/2? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:04 +0700] "GET /LinhWine/chi-tiet-san-pham/2 HTTP/1.1" 200 60517
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:04 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:04 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:04 +0700] "GET /LinhWine/chi-tiet-san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:04 +0700] "GET /LinhWine/chi-tiet-san-pham/resources/Frontend1/images/2021/03/giao-hang.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:04 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:04 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:04 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:04 +0700] "GET /LinhWine/chi-tiet-san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:06 +0700] "GET /LinhWine/gio-hang HTTP/1.1" 200 53746
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:06 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:06 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:06 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:06 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:06 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:06 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:48:06 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
